reporting_period,Claim_Reference,Syndicate_Number,Year_of_Account,Risk_Code,Currency,Status,Outstanding_Amount,Paid_Amount,Incurred_Amount
2025-11-30,CLM519093,2010,2026,6,GBP,Open,469820,141951,202241
2025-11-30,CLM378361,2525,2018,2,AUD,Closed,191239,169457,472592
2025-11-30,CLM636265,2525,2019,7,AUD,Open,143547,28271,758215
2025-11-30,CLM101773,5000,2026,9,JPY,Reopened,398995,108303,396913
2025-11-30,CLM173372,5000,2023,6,JPY,Open,387358,162455,546756
2025-11-30,CLM799287,623,2024,6,CAD,Reopened,165008,295671,148470
2025-11-30,CLM540869,2791,2024,3,AUD,Reopened,167784,217900,589553
2025-11-30,CLM418635,2987,2022,4,CAD,Reopened,328065,173951,502575
2025-11-30,CLM563638,1910,2021,9,CAD,Reopened,98967,49457,312571
2025-11-30,CLM796101,2010,2023,2,CHF,Open,362738,167749,250552
2025-11-30,CLM254511,2791,2018,1,USD,Closed,330483,43182,492538
2025-11-30,CLM760356,5000,2021,7,CAD,Closed,137918,82369,702926
2025-11-30,CLM887443,2987,2019,7,USD,Open,431585,276559,502115
2025-11-30,CLM684482,2987,2021,2,CAD,Open,430173,248606,715005
2025-11-30,CLM686075,2010,2023,8,AUD,Reopened,477675,269649,462470
2025-11-30,CLM567574,2010,2020,8,CAD,Closed,404147,134624,683636
2025-11-30,CLM903013,623,2026,8,JPY,Open,153968,235619,96247
2025-11-30,CLM345884,623,2022,6,EUR,Reopened,52245,77547,173157
2025-11-30,CLM501641,2791,2020,4,GBP,Closed,223699,178477,583969
2025-11-30,CLM535970,1910,2018,4,CHF,Closed,214198,15240,618655
2025-11-30,CLM600149,5000,2018,6,EUR,Closed,457452,224687,579365
2025-11-30,CLM938722,2010,2021,8,USD,Closed,238503,259616,45434
2025-11-30,CLM452457,5000,2024,3,CHF,Closed,492104,71913,667483
2025-11-30,CLM128276,2010,2024,1,GBP,Reopened,234716,76145,499125
2025-11-30,CLM152727,1183,2022,7,EUR,Open,248393,176361,368894
2025-11-30,CLM391773,5000,2024,5,CHF,Open,256576,15162,580621
2025-11-30,CLM466960,2987,2021,2,CHF,Reopened,31106,21268,274295
2025-11-30,CLM979995,2791,2018,3,USD,Open,258282,64973,606364
2025-11-30,CLM587623,2791,2022,6,USD,Reopened,328372,65048,186720
2025-11-30,CLM213349,623,2018,5,AUD,Reopened,486067,201768,430922
2025-11-30,CLM179688,2791,2021,2,JPY,Closed,455798,68467,608423
2025-11-30,CLM464069,2987,2026,7,JPY,Closed,46153,270269,693998
2025-11-30,CLM113266,4242,2024,8,GBP,Closed,199890,246035,756666
2025-11-30,CLM556641,1183,2020,9,JPY,Closed,332915,287157,521983
2025-11-30,CLM556732,1910,2022,6,CHF,Open,445542,50436,307477
2025-11-30,CLM355709,1910,2025,7,EUR,Open,269158,175401,205672
2025-11-30,CLM322423,1910,2023,5,EUR,Closed,471541,149844,597789
2025-11-30,CLM641722,2987,2021,2,USD,Reopened,223085,261155,597144
2025-11-30,CLM824156,2791,2025,8,CAD,Open,58786,159264,247360
2025-11-30,CLM825391,5000,2021,5,JPY,Reopened,203472,253124,595358
2025-11-30,CLM460455,2010,2024,9,EUR,Closed,378498,242893,299076
2025-11-30,CLM363615,623,2021,2,JPY,Open,175438,67681,793967
2025-11-30,CLM899213,2010,2020,4,USD,Reopened,263859,149965,774782
2025-11-30,CLM897135,2525,2026,5,GBP,Open,165318,124266,393411
2025-11-30,CLM416950,1183,2018,9,USD,Closed,33863,33587,595238
2025-11-30,CLM831295,623,2020,8,GBP,Open,310974,154075,507198
2025-11-30,CLM561865,1910,2023,3,GBP,Closed,461791,255467,134629
2025-11-30,CLM520172,33,2025,2,AUD,Reopened,369898,33106,174097
2025-11-30,CLM950544,1183,2022,2,USD,Open,302590,223195,650770
2025-11-30,CLM929151,2525,2021,9,CAD,Closed,486317,237113,326797
2025-11-30,CLM549660,2525,2022,1,AUD,Reopened,62026,113940,670900
2025-11-30,CLM377501,2791,2019,3,USD,Open,299402,44355,179136
2025-11-30,CLM528361,2987,2025,8,EUR,Open,131360,156049,756296
2025-11-30,CLM837135,623,2025,2,JPY,Open,494395,143702,670420
2025-11-30,CLM793300,2525,2021,7,GBP,Reopened,127864,83113,293535
2025-11-30,CLM174878,1183,2018,3,CHF,Closed,321974,156315,475485
2025-11-30,CLM591465,33,2022,7,EUR,Reopened,293105,263890,474023
2025-11-30,CLM727086,33,2018,7,JPY,Closed,326519,136264,42121
2025-11-30,CLM340044,33,2018,5,AUD,Open,410088,96850,508355
2025-11-30,CLM783157,2010,2025,5,USD,Reopened,238529,262805,110674
2025-11-30,CLM464863,1910,2024,6,EUR,Reopened,64840,89318,360824
2025-11-30,CLM827369,5000,2025,5,JPY,Closed,436542,293409,53479
2025-11-30,CLM192337,1910,2023,5,EUR,Open,415037,216904,554593
2025-11-30,CLM789606,2987,2026,8,CAD,Open,108347,276811,394353
2025-11-30,CLM893188,2525,2025,8,CHF,Open,116723,145014,590898
2025-11-30,CLM402020,1183,2025,8,GBP,Open,340313,130460,759261
2025-11-30,CLM425845,1183,2026,1,AUD,Closed,58868,122807,133972
2025-11-30,CLM223172,1910,2020,8,JPY,Closed,276795,148353,450673
2025-11-30,CLM595158,1910,2021,8,AUD,Open,211109,104934,643492
2025-11-30,CLM882544,2010,2020,2,EUR,Closed,188192,271200,295150
2025-11-30,CLM396578,2987,2022,8,CHF,Open,244119,287371,522868
2025-11-30,CLM448588,4242,2026,9,CAD,Closed,499083,173704,212816
2025-11-30,CLM699573,2791,2024,4,CHF,Closed,32883,171816,795879
2025-11-30,CLM839485,1910,2024,7,JPY,Reopened,89746,264694,53817
2025-11-30,CLM626690,1183,2023,2,CHF,Closed,62277,280749,494123
2025-11-30,CLM857537,2987,2020,7,CHF,Reopened,90929,44231,507296
2025-11-30,CLM455007,623,2024,2,CHF,Closed,456872,284771,413468
2025-11-30,CLM757246,4242,2025,9,GBP,Reopened,45872,128087,676820
2025-11-30,CLM338536,623,2019,7,GBP,Reopened,379041,57694,480230
2025-11-30,CLM827712,1183,2022,1,GBP,Closed,427408,34422,322618
2025-11-30,CLM493049,4242,2024,3,USD,Reopened,226033,99401,193240
2025-11-30,CLM182804,1183,2024,4,CAD,Reopened,85034,126733,498550
2025-11-30,CLM581894,623,2022,1,CHF,Closed,482493,155801,725526
2025-11-30,CLM265649,2010,2019,8,EUR,Reopened,166842,227460,738846
2025-11-30,CLM579027,623,2022,4,CAD,Closed,65917,129364,414889
2025-11-30,CLM476395,2525,2022,5,GBP,Reopened,217516,148906,23491
2025-11-30,CLM819112,2525,2018,8,CHF,Closed,416711,125648,651553
2025-11-30,CLM329642,4242,2021,5,JPY,Reopened,412375,76711,673765
2025-11-30,CLM757937,33,2018,5,CHF,Closed,27492,196292,782934
2025-11-30,CLM194511,1183,2022,6,JPY,Closed,102085,110274,153579
2025-11-30,CLM483629,2010,2026,9,EUR,Open,144726,257627,324478
2025-11-30,CLM943298,4242,2019,8,GBP,Open,405392,123287,724176
2025-11-30,CLM986827,5000,2026,6,GBP,Closed,17297,143652,577636
2025-11-30,CLM576877,33,2023,5,AUD,Closed,441183,199759,128609
2025-11-30,CLM594379,2791,2018,9,EUR,Reopened,126060,38143,681269
2025-11-30,CLM835132,1910,2022,7,GBP,Open,33774,24509,334149
2025-11-30,CLM221761,1910,2019,4,AUD,Open,213762,242839,404033
2025-11-30,CLM539486,2010,2020,7,JPY,Open,447095,261558,660558
2025-11-30,CLM393328,5000,2018,6,USD,Closed,243148,128791,395303
2025-11-30,CLM818987,33,2023,9,JPY,Closed,41745,213739,304282
2025-11-30,CLM228093,2791,2025,2,JPY,Open,346437,16197,68035
2025-11-30,CLM355400,4242,2020,4,GBP,Reopened,118610,118220,259316
2025-11-30,CLM911984,4242,2020,1,EUR,Open,78153,288228,277829
2025-11-30,CLM215266,1183,2018,3,GBP,Closed,424179,129744,632457
2025-11-30,CLM116547,4242,2020,5,GBP,Open,398873,225704,566640
2025-11-30,CLM881886,33,2019,8,CAD,Closed,279084,62175,488962
2025-11-30,CLM332311,2010,2018,9,EUR,Closed,347295,21331,78780
2025-11-30,CLM988456,1910,2024,7,JPY,Open,267042,237554,92060
2025-11-30,CLM437758,33,2020,2,USD,Closed,337322,292496,761746
2025-11-30,CLM499407,4242,2026,5,CAD,Reopened,327418,230548,118996
2025-11-30,CLM994217,33,2026,4,CAD,Closed,475615,124796,448914
2025-11-30,CLM967611,4242,2025,7,CAD,Reopened,59852,168865,462494
2025-11-30,CLM797416,4242,2022,6,USD,Reopened,493909,253652,85394
2025-11-30,CLM972176,33,2019,2,CAD,Open,400379,200374,151435
2025-11-30,CLM162894,2010,2026,9,EUR,Reopened,74084,220382,385774
2025-11-30,CLM856086,5000,2018,5,AUD,Closed,194363,59316,620991
2025-11-30,CLM323072,2010,2020,8,USD,Open,193560,296643,400415
2025-11-30,CLM899649,33,2022,4,CHF,Closed,453104,299107,666924
2025-11-30,CLM807764,2525,2026,1,AUD,Reopened,444876,145219,45359
2025-11-30,CLM386544,1183,2022,6,EUR,Open,105108,80105,608830
2025-11-30,CLM172965,5000,2020,1,GBP,Reopened,288125,117791,409468
2025-11-30,CLM575682,5000,2023,3,EUR,Closed,388324,175070,610164
2025-11-30,CLM189083,2525,2018,3,USD,Reopened,36089,47772,300320
2025-11-30,CLM794093,1910,2024,8,AUD,Closed,227151,148218,241040
2025-11-30,CLM219346,2010,2023,7,GBP,Closed,365581,260135,567530
2025-11-30,CLM147623,623,2021,7,AUD,Open,14030,112176,331061
2025-11-30,CLM904624,2791,2020,5,EUR,Closed,72906,9052,536546
2025-11-30,CLM284229,5000,2020,7,AUD,Reopened,130644,267281,600864
2025-11-30,CLM175576,4242,2024,1,CAD,Open,251043,45822,343267
2025-11-30,CLM550137,2525,2024,7,EUR,Open,222353,15934,355544
2025-11-30,CLM940247,1183,2025,6,GBP,Closed,452753,60502,270135
2025-11-30,CLM717476,5000,2024,9,GBP,Closed,466405,167673,797033
2025-11-30,CLM332335,4242,2023,3,GBP,Reopened,341992,64782,571379
2025-11-30,CLM303322,2010,2023,6,JPY,Reopened,437314,82432,262745
2025-11-30,CLM253557,33,2022,4,USD,Reopened,90147,44506,200751
2025-11-30,CLM586490,1910,2025,6,CHF,Reopened,175747,84145,476124
2025-11-30,CLM591699,33,2025,5,CHF,Closed,320074,34450,384038
2025-11-30,CLM177794,2010,2022,8,CAD,Open,39826,198324,316022
2025-11-30,CLM775981,33,2019,9,CAD,Closed,314259,295621,789814
2025-11-30,CLM571579,2987,2021,6,AUD,Closed,272860,84094,79879
2025-11-30,CLM208529,1910,2023,2,AUD,Reopened,100470,25521,274778
2025-11-30,CLM560767,1910,2026,9,AUD,Open,200787,200481,311635
2025-11-30,CLM528625,5000,2023,1,CHF,Reopened,349374,180452,84113
2025-11-30,CLM199096,4242,2026,7,EUR,Closed,389444,83838,364555
2025-11-30,CLM711046,33,2020,6,EUR,Reopened,376204,210498,150215
2025-11-30,CLM843266,2525,2019,5,AUD,Closed,347375,177216,149001
2025-11-30,CLM197992,2010,2024,9,EUR,Open,200105,166934,204019
2025-11-30,CLM458332,2791,2025,4,USD,Open,91235,45456,325160
2025-11-30,CLM632351,33,2026,9,GBP,Reopened,186561,73707,641258
2025-11-30,CLM261745,5000,2020,3,CHF,Reopened,414277,91790,771215
2025-11-30,CLM145814,1910,2024,6,JPY,Reopened,134534,237888,655255
2025-11-30,CLM888939,623,2025,4,AUD,Open,172250,250899,218440
2025-11-30,CLM811256,4242,2025,8,CHF,Closed,417961,205211,542335
2025-11-30,CLM538997,2010,2020,4,CHF,Reopened,82560,136073,69714
2025-11-30,CLM489244,1910,2026,2,JPY,Reopened,456256,70367,313910
2025-11-30,CLM900185,33,2020,5,CAD,Reopened,87253,234361,111168
2025-11-30,CLM956375,2791,2025,6,GBP,Closed,37921,212856,541392
2025-11-30,CLM347231,4242,2024,2,EUR,Open,24778,172082,118896
2025-11-30,CLM929822,4242,2020,3,GBP,Closed,490979,252702,744884
2025-11-30,CLM895702,1183,2025,8,AUD,Open,484930,46537,34927
2025-11-30,CLM326130,623,2020,9,JPY,Reopened,286704,226907,131587
2025-11-30,CLM349183,623,2022,2,GBP,Open,230109,244659,80858
2025-11-30,CLM977330,33,2025,9,GBP,Reopened,280205,131845,768448
2025-11-30,CLM405420,1183,2024,1,AUD,Closed,136124,223401,211412
2025-11-30,CLM648913,33,2023,2,AUD,Reopened,275985,271140,596070
2025-11-30,CLM509420,2987,2025,1,JPY,Closed,205717,137985,798618
2025-11-30,CLM474440,2987,2019,6,USD,Reopened,354511,59349,625169
2025-11-30,CLM239890,4242,2018,6,AUD,Closed,436512,96797,732941
2025-11-30,CLM829168,1910,2025,3,CHF,Open,43082,244955,53780
2025-11-30,CLM311383,623,2018,4,GBP,Closed,499355,167569,555418
2025-11-30,CLM955015,5000,2026,8,EUR,Open,404941,105193,315009
2025-11-30,CLM918771,4242,2018,6,EUR,Open,429085,197948,473176
2025-11-30,CLM879414,5000,2025,7,EUR,Open,270153,265845,400191
2025-11-30,CLM379676,2010,2019,7,GBP,Closed,325859,99611,586971
2025-11-30,CLM436814,623,2019,2,EUR,Reopened,165000,165692,482576
2025-11-30,CLM852524,2525,2024,3,JPY,Closed,194311,239424,59412
2025-11-30,CLM744718,4242,2024,5,JPY,Open,49343,217971,395959
2025-11-30,CLM940010,2010,2020,1,USD,Reopened,365513,234728,51489
2025-11-30,CLM170499,1183,2021,6,EUR,Closed,307399,21979,649487
2025-11-30,CLM812048,1183,2025,6,EUR,Closed,410076,45310,616800
2025-11-30,CLM655178,1183,2023,7,EUR,Reopened,156113,135868,133959
2025-11-30,CLM871411,2987,2020,8,AUD,Closed,488959,299478,138481
2025-11-30,CLM912609,623,2022,8,USD,Reopened,159724,262530,224902
2025-11-30,CLM242321,33,2019,8,USD,Reopened,243366,51027,730054
2025-11-30,CLM800280,4242,2023,2,AUD,Reopened,162233,162263,180156
2025-11-30,CLM932250,1183,2023,9,USD,Open,115371,77811,263235
2025-11-30,CLM127560,1910,2023,9,AUD,Closed,255055,294221,151074
2025-11-30,CLM190403,2525,2019,5,CAD,Reopened,386894,255958,566231
2025-11-30,CLM906527,5000,2024,2,USD,Closed,346770,43883,486832
2025-11-30,CLM813145,1910,2026,6,USD,Reopened,345436,100401,150300
2025-11-30,CLM627290,5000,2018,2,AUD,Open,169448,91327,184834
2025-11-30,CLM843788,4242,2021,6,AUD,Closed,453512,46345,277778
2025-11-30,CLM765905,2791,2026,5,USD,Reopened,168767,284696,112966
2025-11-30,CLM772124,2010,2020,3,USD,Reopened,337406,182009,605996
2025-11-30,CLM965322,2987,2018,2,GBP,Reopened,414237,143755,697759
2025-11-30,CLM904214,2791,2024,1,CAD,Reopened,296039,156871,688088
2025-11-30,CLM606404,623,2021,7,EUR,Closed,48258,36411,180759
2025-11-30,CLM535810,1910,2025,8,USD,Closed,328064,80323,342766
2025-11-30,CLM869864,4242,2023,7,USD,Closed,279997,299466,126341
2025-11-30,CLM353480,4242,2025,2,EUR,Closed,139980,78860,116514
2025-11-30,CLM404309,2987,2024,7,USD,Open,436496,176670,620748
2025-11-30,CLM299055,4242,2020,8,AUD,Closed,271493,166764,536530
2025-11-30,CLM194423,2987,2024,9,CAD,Open,122797,190018,66021
2025-11-30,CLM395023,2987,2025,8,EUR,Reopened,14287,61359,466860
2025-11-30,CLM377319,1183,2023,7,EUR,Open,220020,31821,612983
2025-11-30,CLM304110,2010,2023,9,EUR,Open,212558,269375,487230
2025-11-30,CLM393308,2010,2019,3,GBP,Closed,205663,182778,599929
2025-11-30,CLM891638,4242,2020,4,AUD,Reopened,220442,267184,57210
2025-11-30,CLM140804,2987,2020,6,CHF,Closed,282279,244593,171175
2025-11-30,CLM640546,2525,2020,6,AUD,Closed,95197,211021,661447
2025-11-30,CLM722565,623,2023,9,CHF,Reopened,289099,261820,758167
2025-11-30,CLM414353,2525,2025,1,EUR,Closed,363268,62464,451774
2025-11-30,CLM422623,2525,2018,8,EUR,Reopened,420467,124298,771442
2025-11-30,CLM711868,2987,2025,3,AUD,Reopened,388107,204329,169954
2025-11-30,CLM133104,2791,2019,4,GBP,Closed,174465,224561,173787
2025-11-30,CLM824042,5000,2021,7,AUD,Reopened,492618,252257,786581
2025-11-30,CLM840058,2987,2020,9,USD,Reopened,180419,255804,566002
2025-11-30,CLM428993,5000,2020,8,AUD,Closed,296404,190748,723699
2025-11-30,CLM739711,623,2025,4,USD,Closed,302598,161499,250790
2025-11-30,CLM908634,623,2022,4,JPY,Reopened,266378,171220,518110
2025-11-30,CLM687713,4242,2022,5,GBP,Reopened,364744,289788,413138
2025-11-30,CLM958130,5000,2023,3,EUR,Open,160801,46434,378188
2025-11-30,CLM787836,1910,2022,8,USD,Open,444085,287369,299303
2025-11-30,CLM829988,2010,2022,3,GBP,Reopened,398440,130452,269235
2025-11-30,CLM802371,2987,2026,4,JPY,Open,37520,57532,448377
2025-11-30,CLM852204,4242,2025,2,JPY,Open,12716,293543,180613
2025-11-30,CLM784607,5000,2025,8,JPY,Open,406315,155599,351768
2025-11-30,CLM777273,623,2018,2,JPY,Reopened,131750,285573,789568
2025-11-30,CLM283568,2987,2024,3,GBP,Closed,423118,264723,210361
2025-11-30,CLM139286,623,2018,5,AUD,Reopened,66256,180658,313384
2025-11-30,CLM772464,1910,2026,9,CAD,Open,456200,269352,505755
2025-11-30,CLM302177,623,2019,6,USD,Reopened,250603,139880,768504
2025-11-30,CLM114768,1183,2023,5,AUD,Reopened,407034,106272,199019
2025-11-30,CLM997734,2525,2024,7,AUD,Closed,55475,215152,716765
2025-11-30,CLM293757,33,2020,8,EUR,Open,13580,141726,417206
2025-11-30,CLM568436,2791,2022,6,EUR,Reopened,388998,10995,289258
2025-11-30,CLM826420,4242,2021,1,JPY,Open,254001,165854,182475
2025-11-30,CLM819400,5000,2026,5,JPY,Open,344868,159684,400397
2025-11-30,CLM331577,2525,2021,3,CAD,Open,248539,200887,451045
2025-11-30,CLM593699,2010,2026,4,CHF,Open,366695,47923,566033
2025-11-30,CLM653829,1910,2023,2,AUD,Open,42379,292125,545041
2025-11-30,CLM700521,2791,2026,3,USD,Closed,457996,277808,478303
2025-11-30,CLM813341,33,2021,8,GBP,Reopened,243561,34169,490458
2025-11-30,CLM638179,1183,2024,8,AUD,Open,302970,247419,720448
2025-11-30,CLM858414,623,2018,7,EUR,Open,401016,119243,621403
2025-11-30,CLM147489,33,2024,6,JPY,Open,293725,36591,87371
2025-11-30,CLM133276,1910,2022,7,USD,Open,411514,225390,407650
2025-11-30,CLM570325,5000,2024,7,GBP,Reopened,356969,287748,154449
2025-11-30,CLM224395,4242,2020,9,CAD,Reopened,76766,121753,18642
2025-11-30,CLM412856,2987,2025,9,CAD,Reopened,208850,125410,274535
2025-11-30,CLM462974,1910,2020,5,USD,Reopened,411337,64163,48782
2025-11-30,CLM744793,5000,2018,4,USD,Open,62898,22603,483127
2025-11-30,CLM804667,2525,2018,4,JPY,Open,220902,235142,260722
2025-11-30,CLM327823,2010,2018,3,AUD,Closed,132768,172197,620526
2025-11-30,CLM910065,2525,2023,4,EUR,Open,356141,278285,246780
2025-11-30,CLM415098,5000,2022,1,AUD,Reopened,471223,96820,671401
2025-11-30,CLM682851,5000,2025,1,EUR,Reopened,361976,204834,564939
2025-11-30,CLM830132,4242,2024,7,USD,Closed,207373,101405,579058
2025-11-30,CLM352673,1910,2021,5,CHF,Reopened,85681,247758,75423
2025-11-30,CLM532723,2010,2024,9,AUD,Open,213643,132327,282382
2025-11-30,CLM446305,2791,2019,8,CHF,Closed,58477,285827,774782
2025-11-30,CLM154040,2791,2022,7,JPY,Reopened,326104,25734,91319
2025-11-30,CLM943737,2791,2026,4,CAD,Open,465854,179569,332915
2025-11-30,CLM322096,2987,2021,2,JPY,Closed,489430,132188,744417
2025-11-30,CLM837954,2525,2021,7,USD,Reopened,178618,153404,414152
2025-11-30,CLM659572,1910,2023,5,EUR,Closed,278863,265716,503640
2025-11-30,CLM941814,33,2025,6,USD,Closed,174061,222018,62936
2025-11-30,CLM332022,2525,2020,1,EUR,Reopened,316200,223931,324531
2025-11-30,CLM305721,1183,2023,4,CAD,Reopened,446922,133833,538555
2025-11-30,CLM786406,2010,2023,5,CHF,Closed,389352,262213,498214
2025-11-30,CLM868367,1183,2023,3,USD,Reopened,296547,261018,207988
2025-11-30,CLM772985,2010,2018,9,GBP,Open,438865,30435,21693
2025-11-30,CLM244170,5000,2021,2,JPY,Open,14792,119672,545299
2025-11-30,CLM491329,1910,2018,8,JPY,Closed,18247,8466,573065
2025-11-30,CLM531319,2010,2018,1,AUD,Reopened,154043,285881,315614
2025-11-30,CLM626611,2987,2024,3,GBP,Open,284928,83065,267674
2025-11-30,CLM749887,2791,2026,5,CHF,Closed,150155,213088,97857
2025-11-30,CLM525750,4242,2025,4,JPY,Open,167273,47266,700491
2025-11-30,CLM198042,2987,2024,7,CAD,Reopened,259563,34420,682678
2025-11-30,CLM836986,2987,2020,2,CAD,Closed,348117,178681,608343
2025-11-30,CLM653815,33,2018,4,USD,Reopened,475334,254299,299263
2025-11-30,CLM177959,2987,2022,9,AUD,Reopened,27250,99033,344761
2025-11-30,CLM317221,2987,2020,7,GBP,Closed,95170,131076,609223
2025-11-30,CLM809922,5000,2026,6,CAD,Reopened,83374,46118,540119
2025-11-30,CLM156304,4242,2019,7,USD,Open,188568,212986,357230
2025-11-30,CLM764926,2987,2022,8,CAD,Open,196547,294951,408663
2025-11-30,CLM294760,5000,2024,2,CHF,Reopened,164863,134210,762748
2025-11-30,CLM186023,33,2022,3,CAD,Reopened,420984,85885,790584
2025-11-30,CLM432061,5000,2023,2,GBP,Open,171620,238169,392400
2025-11-30,CLM207197,623,2020,2,USD,Closed,245323,297020,596687
2025-11-30,CLM527865,2010,2019,1,GBP,Closed,300570,53792,640920
2025-11-30,CLM922543,2525,2023,7,GBP,Closed,226955,208318,103813
2025-11-30,CLM354533,2010,2026,3,JPY,Closed,98867,77792,296981
2025-11-30,CLM381444,623,2025,3,GBP,Open,237895,149683,456557
2025-11-30,CLM607753,623,2019,6,EUR,Open,387958,264943,637651
2025-11-30,CLM305047,2525,2025,2,USD,Closed,13548,212456,363354
2025-11-30,CLM498343,2525,2023,8,EUR,Closed,437544,76368,330029
2025-11-30,CLM732512,4242,2021,8,EUR,Open,218792,172320,320605
2025-11-30,CLM703853,1910,2021,6,CAD,Closed,438078,211011,397746
2025-11-30,CLM691240,33,2021,9,USD,Reopened,412452,293410,43223
2025-11-30,CLM842776,1910,2021,8,CHF,Closed,445831,41259,444016
2025-11-30,CLM245939,1910,2022,4,EUR,Reopened,90815,226840,410303
2025-11-30,CLM570880,33,2025,7,AUD,Reopened,494177,224310,585053
2025-11-30,CLM929130,2987,2023,9,AUD,Reopened,489409,49555,129682
2025-11-30,CLM789545,2791,2023,3,JPY,Reopened,33224,214514,362704
2025-11-30,CLM211090,5000,2018,2,EUR,Open,277741,276999,600098
2025-11-30,CLM821068,2525,2021,8,EUR,Closed,252778,267388,173067
2025-11-30,CLM125755,4242,2025,2,EUR,Closed,492632,50012,136707
2025-11-30,CLM465249,1183,2022,6,CAD,Open,283214,258192,380219
2025-11-30,CLM202365,1910,2025,8,EUR,Open,167424,28426,760305
2025-11-30,CLM123682,33,2023,2,JPY,Open,497547,132880,556058
2025-11-30,CLM678719,1183,2020,6,AUD,Closed,252249,126559,439723
2025-11-30,CLM295440,1183,2024,7,GBP,Reopened,331968,108454,486413
2025-11-30,CLM550418,2525,2024,1,JPY,Open,117890,150932,752945
